"","employees","salaries2017","adjustments","salaries2018","raise"
"43","Employee 43",46635.5710220523,7121.33662309498,53756.9076451473,TRUE
"44","Employee 44",41645.6499928609,-4993.91461606137,36651.7353767995,FALSE
"45","Employee 45",49675.2607868984,6898.7032934092,56573.9640803076,TRUE
"46","Employee 46",45461.6025439464,8993.47352213226,54455.0760660786,TRUE
"47","Employee 47",47857.6445207,8659.91790313274,56517.5624238327,TRUE
"48","Employee 48",49912.2537998483,6111.14351311699,56023.3973129652,TRUE
"49","Employee 49",48080.2275193855,1571.33590895683,49651.5634283423,TRUE
"50","Employee 50",44242.5346490927,-1811.54091958888,42430.9937295038,FALSE
"51","Employee 51",45215.0400937535,1072.10792950355,46287.148023257,TRUE
"52","Employee 52",46404.1468896903,-273.48208008334,46130.664809607,FALSE
"53","Employee 53",47293.1914753281,5508.83062765934,52802.0221029874,TRUE
"54","Employee 54",40794.3695830181,-119.859424885362,40674.5101581328,FALSE
"55","Employee 55",43292.3878636211,4766.66463306174,48059.0524966829,TRUE
"56","Employee 56",41918.420845177,1435.64474652521,43354.0655917022,TRUE
"57","Employee 57",42913.3620066568,7198.77016381361,50112.1321704704,TRUE
"58","Employee 58",42529.6217459254,1204.1120743379,43733.7338202633,TRUE
"59","Employee 59",42063.8848678209,6867.21491394565,48931.0997817665,TRUE
"60","Employee 60",49675.045623444,4978.94703876227,54653.9926622063,TRUE
"61","Employee 61",48032.1272625588,9564.09118371084,57596.2184462696,TRUE
"62","Employee 62",40758.3819096908,4331.05453383178,45089.4364435226,TRUE
"63","Employee 63",46791.8477137573,6489.58649369888,53281.4342074562,TRUE
"64","Employee 64",42789.5675343461,-1709.19022988528,41080.3773044609,FALSE
"65","Employee 65",41121.3333439082,9224.57492095418,50345.9082648624,TRUE
"66","Employee 66",46464.9715111591,9330.89805999771,55795.8695711568,TRUE
"67","Employee 67",47171.84236506,-413.109041983262,46758.7333230767,FALSE
"68","Employee 68",49827.6167060249,-2909.73900817335,46917.8776978515,FALSE
"69","Employee 69",40495.4189248383,-2689.83894726261,37805.5799775757,FALSE
"70","Employee 70",40602.1843012422,-3894.28058522753,36707.9037160147,FALSE
"71","Employee 71",40375.8131060749,-4875.38750632666,35500.4255997483,FALSE
"72","Employee 72",46337.3108394444,2103.57996751554,48440.8908069599,TRUE
"73","Employee 73",44856.607883703,8885.82574552856,53742.4336292315,TRUE
"74","Employee 74",47245.3807340935,265.261128079146,47510.6418621726,TRUE
"75","Employee 75",48766.0853005946,-2459.70564079471,46306.3796597999,FALSE
"76","Employee 76",44611.069120001,4397.75708364323,49008.8262036443,TRUE
"77","Employee 77",46494.729926344,8092.7160277497,54587.4459540937,TRUE
"78","Employee 78",43377.2867778316,-1747.94655409642,41629.3402237352,FALSE
"79","Employee 79",42021.2206686847,1920.59940309264,43941.8200717773,TRUE
"80","Employee 80",43155.0192879513,1508.211576147,44663.2308640983,TRUE
"81","Employee 81",48243.1078259833,5983.21156925522,54226.3193952385,TRUE
"82","Employee 82",42254.6366881579,-2775.77313478105,39478.8635533769,FALSE
"83","Employee 83",42601.6690279357,3375.5836985074,45977.2527264431,TRUE
"84","Employee 84",46838.7112906203,-2374.39994583838,44464.3113447819,FALSE
"85","Employee 85",44066.5523568168,4903.4370679874,48969.9894248042,TRUE
"86","Employee 86",43163.6489392258,9734.04647316784,52897.6954123937,TRUE
"87","Employee 87",42359.6166889183,-2232.21710068174,40127.3995882366,FALSE
"88","Employee 88",43705.9001089074,-1659.2222545296,42046.6778543778,FALSE
"89","Employee 89",40781.1544882134,4664.54712790437,45445.7016161177,TRUE
"90","Employee 90",45804.9747836776,-2315.62613858841,43489.3486450892,FALSE
"91","Employee 91",40881.293611601,-2847.60361071676,38033.6900008842,FALSE
"92","Employee 92",42157.5655322522,-911.737523274496,41245.8280089777,FALSE
"93","Employee 93",45429.6635533683,1044.06433762051,46473.7278909888,TRUE
"94","Employee 94",47215.8843209036,420.377651462331,47636.2619723659,TRUE
"95","Employee 95",40513.0200507119,4322.62162677944,44835.6416774914,TRUE
"96","Employee 96",40647.5560064428,8953.40714487247,49600.9631513152,TRUE
"97","Employee 97",47987.6280599274,-1766.89743297175,46220.7306269556,FALSE
"98","Employee 98",45388.1465061568,3278.60975172371,48666.7562578805,TRUE
"99","Employee 99",41342.2691333108,-4165.95794958994,37176.3111837208,FALSE
"100","Employee 100",45967.9288906045,7140.6714071054,53108.6002977099,TRUE
